bssid,pathLossExponent,txPower,x,y
28:bd:89:0a:49:18,2.7457547917038467,-43,-11.883374123757815,-9.088324565555887
28:bd:89:0a:4a:0a,3.5715541993760493,-28,-17.541711043993804,-4.35618760955785
28:bd:89:0a:4d:fe,2.531535969431176,-46,4.239697428762132,7.042185511154906
3c:28:6d:5a:ec:19,3.038589064190812,-49,-13.738535851859709,1.3964525176512907
3c:28:6d:5b:08:28,3.2209955190510646,-43,-4.814491599501433,-4.412237290617264
3c:28:6d:5b:0f:97,4.854896693001995,-22,12.406707177136267,-4.128511167095754
3c:28:6d:5b:10:b5,2.5695815391128365,-47,5.850360515542702,6.221969502795004
3c:28:6d:5f:b6:e6,2.792371295852583,-45,5.30823861515535,-9.180542345667947
3c:28:6d:5f:b8:46,4.330383816738037,-25,13.057490932868632,6.978641393338333
3c:28:6d:5f:bd:6e,3.8334050527106185,-27,-17.24557722144223,-9.107586282763291
